School,STEM,Program,Religious,Gender,Start_Year,Grade_Change,Abs_grades,AgeDiff,Age,Partner_Age,Distance,Hour_Away,Live_Together,Frequency
University of Waterloo,1,Engineering,0,1,3,-5,5,3,23,20,0,1,0,4
IIT,1,Computer Science,0,1,4,5,5,8,22,30,0,1,0,10
University of Waterloo,1,Engineering,0,1,3,0,0,0,22,22,0,1,0,25
University of Waterloo,1,Engineering,0,1,4,0,0,2,22,20,0,1,0,5
University of Waterloo,1,Engineering,0,1,4,7,7,0,22,22,1,0,0,4
University of Waterloo,1,Engineering,0,1,4,7,7,0,22,22,1,0,0,4
University of Waterloo,1,Engineering,0,1,4,7,7,0,22,22,1,0,0,4
University of Waterloo,1,Engineering,0,1,4,7,7,0,22,22,1,0,0,4
University of Waterloo,1,Engineering,0,1,4,7,7,0,22,22,1,0,0,4
University of Waterloo,1,Engineering,0,1,4,7,7,0,22,22,1,0,0,4
University of Waterloo,1,Engineering,0,1,4,7,7,0,22,22,1,0,0,4
University of Waterloo,1,Math,0,1,4,0,0,2,22,20,1,0,0,16
University of Guelph,0,Arts,0,1,4,-2,2,1,22,21,1,0,0,12
University of Waterloo,0,environment,0,1,4,0,0,2,22,24,0,1,0,6
McMaster University,0,Health Sciences,0,1,4,3,3,2,22,24,0,1,0,2
University of Ottawa,0,Social Science,0,1,3,0,0,2,22,24,1,0,0,10
University of Waterloo,1,Engineering,0,1,2,2,2,0,21,21,1,0,0,10
University of Waterloo,1,Engineering,0,1,2,0,0,1,21,22,1,0,0,8
University of Waterloo,1,Engineering,0,1,3,0,0,0,21,21,0,1,0,4
Universidad Carlos III de Madrid,1,Engineering,0,0,3,-10,10,2,21,23,1,0,0,3
University of Waterloo,1,Engineering,0,0,2,4,4,1,21,20,0,1,0,3
University of Waterloo,1,Engineering,0,1,2,1,1,3,21,24,1,0,0,2
University of Waterloo,1,Math,0,0,3,-3,3,1,21,20,1,0,0,25
University of Ottawa,1,Math,1,1,4,11,11,3,21,24,0,1,0,1
York University,1,Science,0,1,2,0,0,1,21,20,1,0,0,25
University of Waterloo,1,Science,0,0,3,2,2,0,21,21,1,0,0,25
University of Waterloo,1,Science,1,1,3,15,15,1,21,20,1,0,0,5
University of Waterloo,1,Science,0,1,3,2,2,2,21,23,0,1,0,4
McMaster University,1,Science,1,1,3,0,0,1,21,22,0,1,0,4
York University,1,Science,0,0,3,0,0,1,21,20,0,1,0,1
